Fri Jan  9 15:36:56 2026    branch/profil/profiling_results_opt_C.prof

         1596940 function calls (1596890 primitive calls) in 36.329 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      875    0.015    0.000    0.020    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:1338(tag_array)
    10368    0.006    0.000    0.017    0.000 {built-in method builtins.sum}
   139281    0.017    0.000    0.017    0.000 {built-in method builtins.len}
    13824    0.007    0.000    0.017    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:18(_flop_count)
    14294    0.016    0.000    0.016    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_internal.py:250(__init__)
    48384    0.015    0.000    0.015    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:56(_compute_size_by_dict)
      625    0.003    0.000    0.015    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:410(_asarray_validated)
      576    0.005    0.000    0.014    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/index_tricks.py:34(ix_)
     2979    0.014    0.000    0.014    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    85666    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
     3222    0.010    0.000    0.010    0.000 {built-in method numpy.zeros}
    25920    0.005    0.000    0.009    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:257(<genexpr>)
      624    0.003    0.000    0.008    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/function_base.py:564(asarray_chkfinite)
