Wed Jan  7 14:08:20 2026    branch/profil/profiling_results.prof

         1450306 function calls (1450256 primitive calls) in 16.460 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1134    0.011    0.000    0.011    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
        1    0.000    0.000    0.011    0.011 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1765(build)
        1    0.000    0.000    0.011    0.011 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1756(check_sanity)
      186    0.010    0.000    0.010    0.000 {built-in method builtins.print}
     4005    0.007    0.000    0.009    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:88(_find_contraction)
     4756    0.009    0.000    0.009    0.000 /usr/lib/python3.12/ctypes/__init__.py:517(cast)
        2    0.008    0.004    0.009    0.004 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.008    0.004 /usr/lib/python3.12/re/__init__.py:199(split)
        2    0.008    0.004    0.008    0.004 {method 'split' of 're.Pattern' objects}
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1844(dump_chk)
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/chkfile.py:28(dump_scf)
       19    0.000    0.000    0.007    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:243(get_fock)
     1068    0.005    0.000    0.007    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:443(_can_dot)
        7    0.000    0.000    0.007    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:48(update)
      722    0.001    0.000    0.007    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2589(all)
       10    0.000    0.000    0.006    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:76(dump)
    66038    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      744    0.002    0.000    0.006    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
       89    0.004    0.000    0.006    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:557(inv)
        7    0.000    0.000    0.006    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:119(get_err_vec)
