Fri Jan  9 11:23:00 2026    branch/profil/profiling_results_opt_B.prof

         1566812 function calls (1566762 primitive calls) in 36.840 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1842(dump_chk)
        2    0.008    0.004    0.008    0.004 {method 'read' of '_io.TextIOWrapper' objects}
        9    0.000    0.000    0.008    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/chkfile.py:28(dump_scf)
      551    0.005    0.000    0.008    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/lapack.py:1025(_compute_lwork)
        2    0.000    0.000    0.007    0.004 /usr/lib/python3.12/re/__init__.py:199(split)
        2    0.007    0.003    0.007    0.003 {method 'split' of 're.Pattern' objects}
     1090    0.003    0.000    0.007    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:33(seterr)
       10    0.000    0.000    0.007    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:76(dump)
    35088    0.006    0.000    0.006    0.000 {method 'count' of 'str' objects}
      864    0.001    0.000    0.006    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_methods.py:61(_all)
      545    0.001    0.000    0.006    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
      592    0.001    0.000    0.006    0.000 {method 'all' of 'numpy.ndarray' objects}
     3592    0.004    0.000    0.005    0.000 {built-in method builtins.min}
    13872    0.005    0.000    0.005    0.000 {built-in method builtins.max}
       19    0.000    0.000    0.005    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:243(get_fock)
      272    0.004    0.000    0.004    0.000 {built-in method scipy.linalg._matfuncs_expm.pick_pade_structure}
      273    0.003    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/twodim_base.py:158(eye)
        7    0.000    0.000    0.004    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:48(update)
       14    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:41(getints)
       13    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/mole.py:3448(intor)
    46/10    0.000    0.000    0.004    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/chkfile.py:109(save_as_group)
     8242    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     3352    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     5781    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
     5720    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
    19584    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
       12    0.003    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/moleintor.py:475(getints2c)
     1089    0.001    0.000    0.003    0.000 {built-in method builtins.next}
        8    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/mole.py:3528(intor_symmetric)
       37    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:450(__setitem__)
        4    0.003    0.001    0.003    0.001 {built-in method _io.open}
      593    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_sparse.py:10(issparse)
      562    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1025(argsort)
      544    0.001    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
        3    0.000    0.000    0.003    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1828(get_ovlp)
    12240    0.003    0.000    0.003    0.000 {method 'copy' of 'set' objects}
      545    0.001    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
        7    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:119(get_err_vec)
     21/7    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/diis.py:89(get_err_vec_orth)
      544    0.001    0.000    0.003    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
      272    0.001    0.000    0.003    0.000 {method 'all' of 'numpy.generic' objects}
        3    0.000    0.000    0.003    0.001 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:339(get_ovlp)
    13056    0.003    0.000    0.003    0.000 {method 'isdisjoint' of 'set' objects}
       37    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/group.py:74(create_dataset)
       57    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:831(dot)
       15    0.000    0.000    0.003    0.000 {built-in method _functools.reduce}
       57    0.000    0.000    0.003    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:741(ddot)
     1975    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      590    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
       57    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:896(_dgemm)
       19    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/misc.py:1164(__init__)
      544    0.001    0.000    0.002    0.000 /usr/lib/python3.12/contextlib.py:132(__enter__)
     1088    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
     1161    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
     1090    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       37    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/dataset.py:36(make_new_dset)
       11    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:971(get_veff)
      574    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/blas.py:395(getter)
    16659    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:1001(_einsum_dispatcher)
       19    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/h5py/_hl/files.py:382(__init__)
       11    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:952(get_jk)
     2889    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      558    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/linalg/lapack.py:1059(_check_work_float)
      274    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/numerictypes.py:357(issubdtype)
     7344    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:404(<genexpr>)
      562    0.002    0.000    0.002    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:885(dot_eri_dm)
      280    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/linalg/linalg.py:159(_commonType)
     3264    0.002    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:273(_update_other_results)
       11    0.001    0.000    0.002    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/_vhf.py:318(incore)
     5835    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      544    0.001    0.000    0.002    0.000 /usr/lib/python3.12/contextlib.py:104(__init__)
     5716    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
       10    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:810(eig)
     9792    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       20    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1813(_eigh)
       20    0.000    0.000    0.001    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1336(eig)
