         199956 function calls (199900 primitive calls) in 0.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1008    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       63    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 hf.py:1763(build)
        1    0.000    0.000    0.000    0.000 hf.py:1754(check_sanity)
      289    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       41    0.000    0.000    0.000    0.000 dataset.py:720(__init__)
       97    0.000    0.000    0.000    0.000 _methods.py:61(_all)
       12    0.000    0.000    0.000    0.000 numpy_helper.py:680(hermi_sum)
        8    0.000    0.000    0.000    0.000 linalg.py:329(solve)
       51    0.000    0.000    0.000    0.000 linalg.py:159(_commonType)
       11    0.000    0.000    0.000    0.000 uhf.py:786(nelec)
       11    0.000    0.000    0.000    0.000 uhf.py:336(energy_elec)
     2920    0.000    0.000    0.000    0.000 index_tricks.py:30(_ix__dispatcher)
       98    0.000    0.000    0.000    0.000 _sparse.py:10(issparse)
      805    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 incore.py:148(half_e1)
       32    0.000    0.000    0.000    0.000 shape_base.py:292(hstack)
        9    0.000    0.000    0.000    0.000 group.py:496(__delitem__)
       48    0.000    0.000    0.000    0.000 numpy_helper.py:415(hermi_triu)
       50    0.000    0.000    0.000    0.000 fromnumeric.py:53(_wrapfunc)
       31    0.000    0.000    0.000    0.000 fromnumeric.py:2421(all)
        5    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
      156    0.000    0.000    0.000    0.000 lapack.py:1055(<genexpr>)
        1    0.000    0.000    0.000    0.000 uhf.py:1044(_finalize)
       41    0.000    0.000    0.000    0.000 base.py:102(array_for_new_object)
        5    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      131    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
      230    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     1116    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
      201    0.000    0.000    0.000    0.000 linalg.py:140(isComplexType)
       15    0.000    0.000    0.000    0.000 numpy_helper.py:1060(direct_sum)
       11    0.000    0.000    0.000    0.000 uhf.py:825(make_rdm1)
      774    0.000    0.000    0.000    0.000 einsumfunc.py:898(<genexpr>)
       15    0.000    0.000    0.000    0.000 mole.py:3188(atom_charges)
       77    0.000    0.000    0.000    0.000 blas.py:395(getter)
        1    0.000    0.000    0.000    0.000 linalg_helper.py:1391(cho_solve)
       51    0.000    0.000    0.000    0.000 base.py:186(get_lcpl)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:2692(max)
      546    0.000    0.000    0.000    0.000 _internal.py:250(__init__)
       11    0.000    0.000    0.000    0.000 uhf.py:139(make_rdm1)
     1056    0.000    0.000    0.000    0.000 {method 'isdisjoint' of 'set' objects}
        1    0.000    0.000    0.000    0.000 uhf.py:1024(spin_square)
      126    0.000    0.000    0.000    0.000 twodim_base.py:33(_min_int)
     1506    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 mole.py:125(gto_norm)
        1    0.000    0.000    0.000    0.000 _basic.py:76(solve)
       16    0.000    0.000    0.000    0.000 moleintor.py:804(make_loc)
        1    0.000    0.000    0.000    0.000 mole.py:912(intor_cross)
       21    0.000    0.000    0.000    0.000 files.py:189(make_fcpl)
      323    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       99    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        8    0.000    0.000    0.000    0.000 mole.py:1029(_nomalize_contracted_ao)
      622    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       22    0.000    0.000    0.000    0.000 ovos_start_over.py:304(spatial_to_spin_fock_optimized)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:1140(argmax)
      104    0.000    0.000    0.000    0.000 lapack.py:1059(_check_work_float)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:2322(any)
        1    0.000    0.000    0.000    0.000 __init__.py:156(UHF)
        3    0.000    0.000    0.000    0.000 misc.py:113(current_memory)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      294    0.000    0.000    0.000    0.000 function_base.py:348(iterable)
      801    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 numpy_helper.py:1008(cond)
        1    0.000    0.000    0.000    0.000 linalg.py:1702(cond)
       12    0.000    0.000    0.000    0.000 numpy_helper.py:256(pack_tril)
        1    0.000    0.000    0.000    0.000 mole.py:1533(classical_coulomb_energy)
       41    0.000    0.000    0.000    0.000 filters.py:151(fill_dcpl)
     1050    0.000    0.000    0.000    0.000 stride_tricks.py:345(<genexpr>)
        3    0.000    0.000    0.000    0.000 _ao2mo.py:157(nr_e2)
      264    0.000    0.000    0.000    0.000 einsumfunc.py:273(_update_other_results)
        1    0.000    0.000    0.000    0.000 uhf.py:779(__init__)
        1    0.000    0.000    0.000    0.000 hf.py:1713(__init__)
      116    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      594    0.000    0.000    0.000    0.000 einsumfunc.py:404(<genexpr>)
      671    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 tempfile.py:676(NamedTemporaryFile)
       99    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      171    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 mole.py:120(gaussian_int)
        1    0.000    0.000    0.000    0.000 mole.py:1262(dumps)
       41    0.000    0.000    0.000    0.000 base.py:73(guess_dtype)
       22    0.000    0.000    0.000    0.000 <frozen posixpath>:413(abspath)
        1    0.000    0.000    0.000    0.000 uhf.py:116(_break_dm_spin_symm)
        3    0.000    0.000    0.000    0.000 logger.py:138(note)
        3    0.000    0.000    0.000    0.000 logger.py:114(flush)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:423(repeat)
       33    0.000    0.000    0.000    0.000 shape_base.py:23(atleast_1d)
        1    0.000    0.000    0.000    0.000 hf.py:2146(_is_mem_enough)
        1    0.000    0.000    0.000    0.000 tempfile.py:610(__del__)
      135    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       59    0.000    0.000    0.000    0.000 linalg.py:135(_makearray)
       96    0.000    0.000    0.000    0.000 type_check.py:302(iscomplexobj)
        1    0.000    0.000    0.000    0.000 mp2.py:581(dump_flags)
        1    0.000    0.000    0.000    0.000 tempfile.py:585(cleanup)
       31    0.000    0.000    0.000    0.000 group.py:34(__init__)
      261    0.000    0.000    0.000    0.000 {method 'conj' of 'numpy.ndarray' objects}
       42    0.000    0.000    0.000    0.000 compat.py:17(filename_encode)
       22    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:716(opener)
       21    0.000    0.000    0.000    0.000 misc.py:1190(__del__)
        1    0.000    0.000    0.000    0.000 tempfile.py:382(_mkstemp_inner)
      294    0.000    0.000    0.000    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
      153    0.000    0.000    0.000    0.000 misc.py:292(prange)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 _basic.py:386(_matrix_norm_general)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       24    0.000    0.000    0.000    0.000 _vhf.py:25(_fpointer)
        2    0.000    0.000    0.000    0.000 parse_nwchem.py:298(remove_zero)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:40(_wrapit)
      250    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 parse_nwchem.py:163(_search_basis_block)
        1    0.000    0.000    0.000    0.000 mole.py:1560(inter_distance)
        1    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
        6    0.000    0.000    0.000    0.000 incore.py:244(_conc_mos)
       13    0.000    0.000    0.000    0.000 numpy_helper.py:1338(tag_array)
       21    0.000    0.000    0.000    0.000 misc.py:1172(_finished)
        1    0.000    0.000    0.000    0.000 encoder.py:183(encode)
      260    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
      294    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
       21    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      660    0.000    0.000    0.000    0.000 einsumfunc.py:395(<lambda>)
        1    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
       17    0.000    0.000    0.000    0.000 logger.py:167(timer)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:1025(argsort)
       81    0.000    0.000    0.000    0.000 linalg.py:153(_realType)
        1    0.000    0.000    0.000    0.000 mole.py:1852(aoslice_by_atom)
       11    0.000    0.000    0.000    0.000 numeric.py:67(zeros_like)
       13    0.000    0.000    0.000    0.000 numeric.py:1240(rollaxis)
        1    0.000    0.000    0.000    0.000 linalg.py:1499(svd)
        1    0.000    0.000    0.000    0.000 mp2.py:650(_finalize)
      253    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       98    0.000    0.000    0.000    0.000 core.py:6485(isMaskedArray)
